code,digit_2,digit_3,digit_4,type_of_facility,type_of_care,center_digits,freq_of_bill
027C,2,7,C,Skilled Nursing Facility (SNF),Subacute Inpatient,27,Hospice Change of Provider Notice
037C,3,7,C,Home Health,Subacute Inpatient,37,Hospice Change of Provider Notice
047C,4,7,C,Religious Nonmedical (Hospital),Subacute Inpatient,47,Hospice Change of Provider Notice
057C,5,7,C,Religious Nonmedical (Extended Care),Subacute Inpatient,57,Hospice Change of Provider Notice
067C,6,7,C,Intermediate Care,Subacute Inpatient,67,Hospice Change of Provider Notice
077C,7,7,C,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),77,Hospice Change of Provider Notice
087C,8,7,C,Special facility or hospital,Reserved for National Assignment,87,Hospice Change of Provider Notice
097C,9,7,C,Reserved for National Assignment,Subacute Inpatient,97,Hospice Change of Provider Notice
018C,1,8,C,Hospital,Reserved for National Assignment,18,Hospice Change of Provider Notice
028C,2,8,C,Skilled Nursing Facility (SNF),Reserved for National Assignment,28,Hospice Change of Provider Notice
038C,3,8,C,Home Health,Reserved for National Assignment,38,Hospice Change of Provider Notice
048C,4,8,C,Religious Nonmedical (Hospital),Reserved for National Assignment,48,Hospice Change of Provider Notice
058C,5,8,C,Religious Nonmedical (Extended Care),Reserved for National Assignment,58,Hospice Change of Provider Notice
068C,6,8,C,Intermediate Care,Reserved for National Assignment,68,Hospice Change of Provider Notice
078C,7,8,C,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Reserved for National Assignment,78,Hospice Change of Provider Notice
088C,8,8,C,Special facility or hospital,Reserved for National Assignment,88,Hospice Change of Provider Notice
098C,9,8,C,Reserved for National Assignment,Reserved for National Assignment,98,Hospice Change of Provider Notice
019C,1,9,C,Hospital,Reserved for National Assignment,19,Hospice Change of Provider Notice
029C,2,9,C,Skilled Nursing Facility (SNF),Reserved for National Assignment,29,Hospice Change of Provider Notice
039C,3,9,C,Home Health,Reserved for National Assignment,39,Hospice Change of Provider Notice
049C,4,9,C,Religious Nonmedical (Hospital),Reserved for National Assignment,49,Hospice Change of Provider Notice
059C,5,9,C,Religious Nonmedical (Extended Care),Reserved for National Assignment,59,Hospice Change of Provider Notice
069C,6,9,C,Intermediate Care,Reserved for National Assignment,69,Hospice Change of Provider Notice
079C,7,9,C,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other,79,Hospice Change of Provider Notice
089C,8,9,C,Special facility or hospital,Other,89,Hospice Change of Provider Notice
099C,9,9,C,Reserved for National Assignment,Reserved for National Assignment,99,Hospice Change of Provider Notice
011D,1,1,D,Hospital,Inpatient (Part A),11,Hospice Election Void/Cancel
021D,2,1,D,Skilled Nursing Facility (SNF),Inpatient (Part A),21,Hospice Election Void/Cancel
031D,3,1,D,Home Health,Inpatient (Part A),31,Hospice Election Void/Cancel
041D,4,1,D,Religious Nonmedical (Hospital),Inpatient (Part A),41,Hospice Election Void/Cancel
051D,5,1,D,Religious Nonmedical (Extended Care),Inpatient (Part A),51,Hospice Election Void/Cancel
061D,6,1,D,Intermediate Care,Inpatient (Part A),61,Hospice Election Void/Cancel
071D,7,1,D,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Rural Health Center (RHC),71,Hospice Election Void/Cancel
081D,8,1,D,Special facility or hospital,Hospice (non-hospital based),81,Hospice Election Void/Cancel
091D,9,1,D,Reserved for National Assignment,Inpatient (Part A),91,Hospice Election Void/Cancel
012D,1,2,D,Hospital,Inpatient (Part B),12,Hospice Election Void/Cancel
022D,2,2,D,Skilled Nursing Facility (SNF),Inpatient (Part B),22,Hospice Election Void/Cancel
032D,3,2,D,Home Health,Inpatient (Part B),32,Hospice Election Void/Cancel
042D,4,2,D,Religious Nonmedical (Hospital),Inpatient (Part B),42,Hospice Election Void/Cancel
052D,5,2,D,Religious Nonmedical (Extended Care),Inpatient (Part B),52,Hospice Election Void/Cancel
062D,6,2,D,Intermediate Care,Inpatient (Part B),62,Hospice Election Void/Cancel
072D,7,2,D,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Hospital based or Independent Renal Dialysis Center,72,Hospice Election Void/Cancel
082D,8,2,D,Special facility or hospital,Hospice (hospital based),82,Hospice Election Void/Cancel
092D,9,2,D,Reserved for National Assignment,Inpatient (Part B),92,Hospice Election Void/Cancel
013D,1,3,D,Hospital,Outpatient,13,Hospice Election Void/Cancel
023D,2,3,D,Skilled Nursing Facility (SNF),Outpatient,23,Hospice Election Void/Cancel
033D,3,3,D,Home Health,Outpatient,33,Hospice Election Void/Cancel
043D,4,3,D,Religious Nonmedical (Hospital),Outpatient,43,Hospice Election Void/Cancel
053D,5,3,D,Religious Nonmedical (Extended Care),Outpatient,53,Hospice Election Void/Cancel
063D,6,3,D,Intermediate Care,Outpatient,63,Hospice Election Void/Cancel
073D,7,3,D,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),73,Hospice Election Void/Cancel
083D,8,3,D,Special facility or hospital,ASC Services to Hospital Outpatients,83,Hospice Election Void/Cancel
093D,9,3,D,Reserved for National Assignment,Outpatient,93,Hospice Election Void/Cancel
014D,1,4,D,Hospital,Other (Part B),14,Hospice Election Void/Cancel
024D,2,4,D,Skilled Nursing Facility (SNF),Other (Part B),24,Hospice Election Void/Cancel
034D,3,4,D,Home Health,Other (Part B),34,Hospice Election Void/Cancel
044D,4,4,D,Religious Nonmedical (Hospital),Other (Part B),44,Hospice Election Void/Cancel
054D,5,4,D,Religious Nonmedical (Extended Care),Other (Part B),54,Hospice Election Void/Cancel
064D,6,4,D,Intermediate Care,Other (Part B),64,Hospice Election Void/Cancel
074D,7,4,D,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other Rehabilitation Facility (ORF),74,Hospice Election Void/Cancel
084D,8,4,D,Special facility or hospital,Free Standing Birthing Center,84,Hospice Election Void/Cancel
094D,9,4,D,Reserved for National Assignment,Other (Part B),94,Hospice Election Void/Cancel
015D,1,5,D,Hospital,Intermediate Care - Level I,15,Hospice Election Void/Cancel
025D,2,5,D,Skilled Nursing Facility (SNF),Intermediate Care - Level I,25,Hospice Election Void/Cancel
035D,3,5,D,Home Health,Intermediate Care - Level I,35,Hospice Election Void/Cancel
045D,4,5,D,Religious Nonmedical (Hospital),Intermediate Care - Level I,45,Hospice Election Void/Cancel
055D,5,5,D,Religious Nonmedical (Extended Care),Intermediate Care - Level I,55,Hospice Election Void/Cancel
065D,6,5,D,Intermediate Care,Intermediate Care - Level I,65,Hospice Election Void/Cancel
075D,7,5,D,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Comprehensive Outpatient Rehabilitation Facility (CORF),75,Hospice Election Void/Cancel
085D,8,5,D,Special facility or hospital,Critical Access Hospital (CAH),85,Hospice Election Void/Cancel
095D,9,5,D,Reserved for National Assignment,Intermediate Care - Level I,95,Hospice Election Void/Cancel
016D,1,6,D,Hospital,Intermediate Care - Level II,16,Hospice Election Void/Cancel
026D,2,6,D,Skilled Nursing Facility (SNF),Intermediate Care - Level II,26,Hospice Election Void/Cancel
036D,3,6,D,Home Health,Intermediate Care - Level II,36,Hospice Election Void/Cancel
046D,4,6,D,Religious Nonmedical (Hospital),Intermediate Care - Level II,46,Hospice Election Void/Cancel
056D,5,6,D,Religious Nonmedical (Extended Care),Intermediate Care - Level II,56,Hospice Election Void/Cancel
066D,6,6,D,Intermediate Care,Intermediate Care - Level II,66,Hospice Election Void/Cancel
076D,7,6,D,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Community Mental Health Center (CMHC),76,Hospice Election Void/Cancel
086D,8,6,D,Special facility or hospital,Residential Facility,86,Hospice Election Void/Cancel
096D,9,6,D,Reserved for National Assignment,Intermediate Care - Level II,96,Hospice Election Void/Cancel
017D,1,7,D,Hospital,Subacute Inpatient,17,Hospice Election Void/Cancel
027D,2,7,D,Skilled Nursing Facility (SNF),Subacute Inpatient,27,Hospice Election Void/Cancel
037D,3,7,D,Home Health,Subacute Inpatient,37,Hospice Election Void/Cancel
047D,4,7,D,Religious Nonmedical (Hospital),Subacute Inpatient,47,Hospice Election Void/Cancel
057D,5,7,D,Religious Nonmedical (Extended Care),Subacute Inpatient,57,Hospice Election Void/Cancel
067D,6,7,D,Intermediate Care,Subacute Inpatient,67,Hospice Election Void/Cancel
077D,7,7,D,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),77,Hospice Election Void/Cancel
087D,8,7,D,Special facility or hospital,Reserved for National Assignment,87,Hospice Election Void/Cancel
097D,9,7,D,Reserved for National Assignment,Subacute Inpatient,97,Hospice Election Void/Cancel
018D,1,8,D,Hospital,Reserved for National Assignment,18,Hospice Election Void/Cancel
028D,2,8,D,Skilled Nursing Facility (SNF),Reserved for National Assignment,28,Hospice Election Void/Cancel
038D,3,8,D,Home Health,Reserved for National Assignment,38,Hospice Election Void/Cancel
048D,4,8,D,Religious Nonmedical (Hospital),Reserved for National Assignment,48,Hospice Election Void/Cancel
058D,5,8,D,Religious Nonmedical (Extended Care),Reserved for National Assignment,58,Hospice Election Void/Cancel
068D,6,8,D,Intermediate Care,Reserved for National Assignment,68,Hospice Election Void/Cancel
078D,7,8,D,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Reserved for National Assignment,78,Hospice Election Void/Cancel
088D,8,8,D,Special facility or hospital,Reserved for National Assignment,88,Hospice Election Void/Cancel
098D,9,8,D,Reserved for National Assignment,Reserved for National Assignment,98,Hospice Election Void/Cancel
019D,1,9,D,Hospital,Reserved for National Assignment,19,Hospice Election Void/Cancel
029D,2,9,D,Skilled Nursing Facility (SNF),Reserved for National Assignment,29,Hospice Election Void/Cancel
039D,3,9,D,Home Health,Reserved for National Assignment,39,Hospice Election Void/Cancel
049D,4,9,D,Religious Nonmedical (Hospital),Reserved for National Assignment,49,Hospice Election Void/Cancel
059D,5,9,D,Religious Nonmedical (Extended Care),Reserved for National Assignment,59,Hospice Election Void/Cancel
069D,6,9,D,Intermediate Care,Reserved for National Assignment,69,Hospice Election Void/Cancel
079D,7,9,D,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other,79,Hospice Election Void/Cancel
089D,8,9,D,Special facility or hospital,Other,89,Hospice Election Void/Cancel
099D,9,9,D,Reserved for National Assignment,Reserved for National Assignment,99,Hospice Election Void/Cancel
011E,1,1,E,Hospital,Inpatient (Part A),11,Hospice Change of Ownership
021E,2,1,E,Skilled Nursing Facility (SNF),Inpatient (Part A),21,Hospice Change of Ownership
031E,3,1,E,Home Health,Inpatient (Part A),31,Hospice Change of Ownership
041E,4,1,E,Religious Nonmedical (Hospital),Inpatient (Part A),41,Hospice Change of Ownership
051E,5,1,E,Religious Nonmedical (Extended Care),Inpatient (Part A),51,Hospice Change of Ownership
061E,6,1,E,Intermediate Care,Inpatient (Part A),61,Hospice Change of Ownership
071E,7,1,E,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Rural Health Center (RHC),71,Hospice Change of Ownership
081E,8,1,E,Special facility or hospital,Hospice (non-hospital based),81,Hospice Change of Ownership
091E,9,1,E,Reserved for National Assignment,Inpatient (Part A),91,Hospice Change of Ownership
012E,1,2,E,Hospital,Inpatient (Part B),12,Hospice Change of Ownership
022E,2,2,E,Skilled Nursing Facility (SNF),Inpatient (Part B),22,Hospice Change of Ownership
032E,3,2,E,Home Health,Inpatient (Part B),32,Hospice Change of Ownership
042E,4,2,E,Religious Nonmedical (Hospital),Inpatient (Part B),42,Hospice Change of Ownership
052E,5,2,E,Religious Nonmedical (Extended Care),Inpatient (Part B),52,Hospice Change of Ownership
062E,6,2,E,Intermediate Care,Inpatient (Part B),62,Hospice Change of Ownership
072E,7,2,E,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Hospital based or Independent Renal Dialysis Center,72,Hospice Change of Ownership
082E,8,2,E,Special facility or hospital,Hospice (hospital based),82,Hospice Change of Ownership
092E,9,2,E,Reserved for National Assignment,Inpatient (Part B),92,Hospice Change of Ownership
013E,1,3,E,Hospital,Outpatient,13,Hospice Change of Ownership
023E,2,3,E,Skilled Nursing Facility (SNF),Outpatient,23,Hospice Change of Ownership
033E,3,3,E,Home Health,Outpatient,33,Hospice Change of Ownership
043E,4,3,E,Religious Nonmedical (Hospital),Outpatient,43,Hospice Change of Ownership
053E,5,3,E,Religious Nonmedical (Extended Care),Outpatient,53,Hospice Change of Ownership
063E,6,3,E,Intermediate Care,Outpatient,63,Hospice Change of Ownership
073E,7,3,E,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),73,Hospice Change of Ownership
083E,8,3,E,Special facility or hospital,ASC Services to Hospital Outpatients,83,Hospice Change of Ownership
093E,9,3,E,Reserved for National Assignment,Outpatient,93,Hospice Change of Ownership
014E,1,4,E,Hospital,Other (Part B),14,Hospice Change of Ownership
024E,2,4,E,Skilled Nursing Facility (SNF),Other (Part B),24,Hospice Change of Ownership
034E,3,4,E,Home Health,Other (Part B),34,Hospice Change of Ownership
044E,4,4,E,Religious Nonmedical (Hospital),Other (Part B),44,Hospice Change of Ownership
054E,5,4,E,Religious Nonmedical (Extended Care),Other (Part B),54,Hospice Change of Ownership
064E,6,4,E,Intermediate Care,Other (Part B),64,Hospice Change of Ownership
074E,7,4,E,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other Rehabilitation Facility (ORF),74,Hospice Change of Ownership
084E,8,4,E,Special facility or hospital,Free Standing Birthing Center,84,Hospice Change of Ownership
094E,9,4,E,Reserved for National Assignment,Other (Part B),94,Hospice Change of Ownership
015E,1,5,E,Hospital,Intermediate Care - Level I,15,Hospice Change of Ownership
025E,2,5,E,Skilled Nursing Facility (SNF),Intermediate Care - Level I,25,Hospice Change of Ownership
035E,3,5,E,Home Health,Intermediate Care - Level I,35,Hospice Change of Ownership
045E,4,5,E,Religious Nonmedical (Hospital),Intermediate Care - Level I,45,Hospice Change of Ownership
055E,5,5,E,Religious Nonmedical (Extended Care),Intermediate Care - Level I,55,Hospice Change of Ownership
065E,6,5,E,Intermediate Care,Intermediate Care - Level I,65,Hospice Change of Ownership
075E,7,5,E,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Comprehensive Outpatient Rehabilitation Facility (CORF),75,Hospice Change of Ownership
085E,8,5,E,Special facility or hospital,Critical Access Hospital (CAH),85,Hospice Change of Ownership
095E,9,5,E,Reserved for National Assignment,Intermediate Care - Level I,95,Hospice Change of Ownership
016E,1,6,E,Hospital,Intermediate Care - Level II,16,Hospice Change of Ownership
026E,2,6,E,Skilled Nursing Facility (SNF),Intermediate Care - Level II,26,Hospice Change of Ownership
036E,3,6,E,Home Health,Intermediate Care - Level II,36,Hospice Change of Ownership
046E,4,6,E,Religious Nonmedical (Hospital),Intermediate Care - Level II,46,Hospice Change of Ownership
056E,5,6,E,Religious Nonmedical (Extended Care),Intermediate Care - Level II,56,Hospice Change of Ownership
066E,6,6,E,Intermediate Care,Intermediate Care - Level II,66,Hospice Change of Ownership
076E,7,6,E,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Community Mental Health Center (CMHC),76,Hospice Change of Ownership
086E,8,6,E,Special facility or hospital,Residential Facility,86,Hospice Change of Ownership
096E,9,6,E,Reserved for National Assignment,Intermediate Care - Level II,96,Hospice Change of Ownership
017E,1,7,E,Hospital,Subacute Inpatient,17,Hospice Change of Ownership
027E,2,7,E,Skilled Nursing Facility (SNF),Subacute Inpatient,27,Hospice Change of Ownership
037E,3,7,E,Home Health,Subacute Inpatient,37,Hospice Change of Ownership
047E,4,7,E,Religious Nonmedical (Hospital),Subacute Inpatient,47,Hospice Change of Ownership
057E,5,7,E,Religious Nonmedical (Extended Care),Subacute Inpatient,57,Hospice Change of Ownership
067E,6,7,E,Intermediate Care,Subacute Inpatient,67,Hospice Change of Ownership
077E,7,7,E,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),77,Hospice Change of Ownership
087E,8,7,E,Special facility or hospital,Reserved for National Assignment,87,Hospice Change of Ownership
097E,9,7,E,Reserved for National Assignment,Subacute Inpatient,97,Hospice Change of Ownership
018E,1,8,E,Hospital,Reserved for National Assignment,18,Hospice Change of Ownership
028E,2,8,E,Skilled Nursing Facility (SNF),Reserved for National Assignment,28,Hospice Change of Ownership
038E,3,8,E,Home Health,Reserved for National Assignment,38,Hospice Change of Ownership
048E,4,8,E,Religious Nonmedical (Hospital),Reserved for National Assignment,48,Hospice Change of Ownership
058E,5,8,E,Religious Nonmedical (Extended Care),Reserved for National Assignment,58,Hospice Change of Ownership
068E,6,8,E,Intermediate Care,Reserved for National Assignment,68,Hospice Change of Ownership
078E,7,8,E,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Reserved for National Assignment,78,Hospice Change of Ownership
088E,8,8,E,Special facility or hospital,Reserved for National Assignment,88,Hospice Change of Ownership
098E,9,8,E,Reserved for National Assignment,Reserved for National Assignment,98,Hospice Change of Ownership
019E,1,9,E,Hospital,Reserved for National Assignment,19,Hospice Change of Ownership
029E,2,9,E,Skilled Nursing Facility (SNF),Reserved for National Assignment,29,Hospice Change of Ownership
039E,3,9,E,Home Health,Reserved for National Assignment,39,Hospice Change of Ownership
049E,4,9,E,Religious Nonmedical (Hospital),Reserved for National Assignment,49,Hospice Change of Ownership
059E,5,9,E,Religious Nonmedical (Extended Care),Reserved for National Assignment,59,Hospice Change of Ownership
069E,6,9,E,Intermediate Care,Reserved for National Assignment,69,Hospice Change of Ownership
079E,7,9,E,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other,79,Hospice Change of Ownership
089E,8,9,E,Special facility or hospital,Other,89,Hospice Change of Ownership
099E,9,9,E,Reserved for National Assignment,Reserved for National Assignment,99,Hospice Change of Ownership
011F,1,1,F,Hospital,Inpatient (Part A),11,Beneficiary Initiated Adjustment Claim
021F,2,1,F,Skilled Nursing Facility (SNF),Inpatient (Part A),21,Beneficiary Initiated Adjustment Claim
031F,3,1,F,Home Health,Inpatient (Part A),31,Beneficiary Initiated Adjustment Claim
041F,4,1,F,Religious Nonmedical (Hospital),Inpatient (Part A),41,Beneficiary Initiated Adjustment Claim
051F,5,1,F,Religious Nonmedical (Extended Care),Inpatient (Part A),51,Beneficiary Initiated Adjustment Claim
061F,6,1,F,Intermediate Care,Inpatient (Part A),61,Beneficiary Initiated Adjustment Claim
071F,7,1,F,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Rural Health Center (RHC),71,Beneficiary Initiated Adjustment Claim
081F,8,1,F,Special facility or hospital,Hospice (non-hospital based),81,Beneficiary Initiated Adjustment Claim
091F,9,1,F,Reserved for National Assignment,Inpatient (Part A),91,Beneficiary Initiated Adjustment Claim
012F,1,2,F,Hospital,Inpatient (Part B),12,Beneficiary Initiated Adjustment Claim
022F,2,2,F,Skilled Nursing Facility (SNF),Inpatient (Part B),22,Beneficiary Initiated Adjustment Claim
032F,3,2,F,Home Health,Inpatient (Part B),32,Beneficiary Initiated Adjustment Claim
042F,4,2,F,Religious Nonmedical (Hospital),Inpatient (Part B),42,Beneficiary Initiated Adjustment Claim
052F,5,2,F,Religious Nonmedical (Extended Care),Inpatient (Part B),52,Beneficiary Initiated Adjustment Claim
062F,6,2,F,Intermediate Care,Inpatient (Part B),62,Beneficiary Initiated Adjustment Claim
072F,7,2,F,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Hospital based or Independent Renal Dialysis Center,72,Beneficiary Initiated Adjustment Claim
082F,8,2,F,Special facility or hospital,Hospice (hospital based),82,Beneficiary Initiated Adjustment Claim
092F,9,2,F,Reserved for National Assignment,Inpatient (Part B),92,Beneficiary Initiated Adjustment Claim
013F,1,3,F,Hospital,Outpatient,13,Beneficiary Initiated Adjustment Claim
023F,2,3,F,Skilled Nursing Facility (SNF),Outpatient,23,Beneficiary Initiated Adjustment Claim
033F,3,3,F,Home Health,Outpatient,33,Beneficiary Initiated Adjustment Claim
043F,4,3,F,Religious Nonmedical (Hospital),Outpatient,43,Beneficiary Initiated Adjustment Claim
053F,5,3,F,Religious Nonmedical (Extended Care),Outpatient,53,Beneficiary Initiated Adjustment Claim
063F,6,3,F,Intermediate Care,Outpatient,63,Beneficiary Initiated Adjustment Claim
073F,7,3,F,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),73,Beneficiary Initiated Adjustment Claim
083F,8,3,F,Special facility or hospital,ASC Services to Hospital Outpatients,83,Beneficiary Initiated Adjustment Claim
093F,9,3,F,Reserved for National Assignment,Outpatient,93,Beneficiary Initiated Adjustment Claim
014F,1,4,F,Hospital,Other (Part B),14,Beneficiary Initiated Adjustment Claim
024F,2,4,F,Skilled Nursing Facility (SNF),Other (Part B),24,Beneficiary Initiated Adjustment Claim
034F,3,4,F,Home Health,Other (Part B),34,Beneficiary Initiated Adjustment Claim
044F,4,4,F,Religious Nonmedical (Hospital),Other (Part B),44,Beneficiary Initiated Adjustment Claim
054F,5,4,F,Religious Nonmedical (Extended Care),Other (Part B),54,Beneficiary Initiated Adjustment Claim
064F,6,4,F,Intermediate Care,Other (Part B),64,Beneficiary Initiated Adjustment Claim
074F,7,4,F,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other Rehabilitation Facility (ORF),74,Beneficiary Initiated Adjustment Claim
084F,8,4,F,Special facility or hospital,Free Standing Birthing Center,84,Beneficiary Initiated Adjustment Claim
094F,9,4,F,Reserved for National Assignment,Other (Part B),94,Beneficiary Initiated Adjustment Claim
015F,1,5,F,Hospital,Intermediate Care - Level I,15,Beneficiary Initiated Adjustment Claim
025F,2,5,F,Skilled Nursing Facility (SNF),Intermediate Care - Level I,25,Beneficiary Initiated Adjustment Claim
035F,3,5,F,Home Health,Intermediate Care - Level I,35,Beneficiary Initiated Adjustment Claim
045F,4,5,F,Religious Nonmedical (Hospital),Intermediate Care - Level I,45,Beneficiary Initiated Adjustment Claim
055F,5,5,F,Religious Nonmedical (Extended Care),Intermediate Care - Level I,55,Beneficiary Initiated Adjustment Claim
065F,6,5,F,Intermediate Care,Intermediate Care - Level I,65,Beneficiary Initiated Adjustment Claim
075F,7,5,F,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Comprehensive Outpatient Rehabilitation Facility (CORF),75,Beneficiary Initiated Adjustment Claim
085F,8,5,F,Special facility or hospital,Critical Access Hospital (CAH),85,Beneficiary Initiated Adjustment Claim
095F,9,5,F,Reserved for National Assignment,Intermediate Care - Level I,95,Beneficiary Initiated Adjustment Claim
016F,1,6,F,Hospital,Intermediate Care - Level II,16,Beneficiary Initiated Adjustment Claim
026F,2,6,F,Skilled Nursing Facility (SNF),Intermediate Care - Level II,26,Beneficiary Initiated Adjustment Claim
036F,3,6,F,Home Health,Intermediate Care - Level II,36,Beneficiary Initiated Adjustment Claim
046F,4,6,F,Religious Nonmedical (Hospital),Intermediate Care - Level II,46,Beneficiary Initiated Adjustment Claim
056F,5,6,F,Religious Nonmedical (Extended Care),Intermediate Care - Level II,56,Beneficiary Initiated Adjustment Claim
066F,6,6,F,Intermediate Care,Intermediate Care - Level II,66,Beneficiary Initiated Adjustment Claim
076F,7,6,F,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Community Mental Health Center (CMHC),76,Beneficiary Initiated Adjustment Claim
086F,8,6,F,Special facility or hospital,Residential Facility,86,Beneficiary Initiated Adjustment Claim
096F,9,6,F,Reserved for National Assignment,Intermediate Care - Level II,96,Beneficiary Initiated Adjustment Claim
017F,1,7,F,Hospital,Subacute Inpatient,17,Beneficiary Initiated Adjustment Claim
027F,2,7,F,Skilled Nursing Facility (SNF),Subacute Inpatient,27,Beneficiary Initiated Adjustment Claim
037F,3,7,F,Home Health,Subacute Inpatient,37,Beneficiary Initiated Adjustment Claim
047F,4,7,F,Religious Nonmedical (Hospital),Subacute Inpatient,47,Beneficiary Initiated Adjustment Claim
057F,5,7,F,Religious Nonmedical (Extended Care),Subacute Inpatient,57,Beneficiary Initiated Adjustment Claim
067F,6,7,F,Intermediate Care,Subacute Inpatient,67,Beneficiary Initiated Adjustment Claim
077F,7,7,F,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),77,Beneficiary Initiated Adjustment Claim
087F,8,7,F,Special facility or hospital,Reserved for National Assignment,87,Beneficiary Initiated Adjustment Claim
097F,9,7,F,Reserved for National Assignment,Subacute Inpatient,97,Beneficiary Initiated Adjustment Claim
018F,1,8,F,Hospital,Reserved for National Assignment,18,Beneficiary Initiated Adjustment Claim
028F,2,8,F,Skilled Nursing Facility (SNF),Reserved for National Assignment,28,Beneficiary Initiated Adjustment Claim
038F,3,8,F,Home Health,Reserved for National Assignment,38,Beneficiary Initiated Adjustment Claim
048F,4,8,F,Religious Nonmedical (Hospital),Reserved for National Assignment,48,Beneficiary Initiated Adjustment Claim
058F,5,8,F,Religious Nonmedical (Extended Care),Reserved for National Assignment,58,Beneficiary Initiated Adjustment Claim
068F,6,8,F,Intermediate Care,Reserved for National Assignment,68,Beneficiary Initiated Adjustment Claim
078F,7,8,F,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Reserved for National Assignment,78,Beneficiary Initiated Adjustment Claim
088F,8,8,F,Special facility or hospital,Reserved for National Assignment,88,Beneficiary Initiated Adjustment Claim
098F,9,8,F,Reserved for National Assignment,Reserved for National Assignment,98,Beneficiary Initiated Adjustment Claim
019F,1,9,F,Hospital,Reserved for National Assignment,19,Beneficiary Initiated Adjustment Claim
029F,2,9,F,Skilled Nursing Facility (SNF),Reserved for National Assignment,29,Beneficiary Initiated Adjustment Claim
039F,3,9,F,Home Health,Reserved for National Assignment,39,Beneficiary Initiated Adjustment Claim
049F,4,9,F,Religious Nonmedical (Hospital),Reserved for National Assignment,49,Beneficiary Initiated Adjustment Claim
059F,5,9,F,Religious Nonmedical (Extended Care),Reserved for National Assignment,59,Beneficiary Initiated Adjustment Claim
069F,6,9,F,Intermediate Care,Reserved for National Assignment,69,Beneficiary Initiated Adjustment Claim
079F,7,9,F,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other,79,Beneficiary Initiated Adjustment Claim
089F,8,9,F,Special facility or hospital,Other,89,Beneficiary Initiated Adjustment Claim
099F,9,9,F,Reserved for National Assignment,Reserved for National Assignment,99,Beneficiary Initiated Adjustment Claim
011G,1,1,G,Hospital,Inpatient (Part A),11,CWF Initiated Adjustment Claim
021G,2,1,G,Skilled Nursing Facility (SNF),Inpatient (Part A),21,CWF Initiated Adjustment Claim
031G,3,1,G,Home Health,Inpatient (Part A),31,CWF Initiated Adjustment Claim
041G,4,1,G,Religious Nonmedical (Hospital),Inpatient (Part A),41,CWF Initiated Adjustment Claim
051G,5,1,G,Religious Nonmedical (Extended Care),Inpatient (Part A),51,CWF Initiated Adjustment Claim
061G,6,1,G,Intermediate Care,Inpatient (Part A),61,CWF Initiated Adjustment Claim
071G,7,1,G,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Rural Health Center (RHC),71,CWF Initiated Adjustment Claim
081G,8,1,G,Special facility or hospital,Hospice (non-hospital based),81,CWF Initiated Adjustment Claim
091G,9,1,G,Reserved for National Assignment,Inpatient (Part A),91,CWF Initiated Adjustment Claim
012G,1,2,G,Hospital,Inpatient (Part B),12,CWF Initiated Adjustment Claim
022G,2,2,G,Skilled Nursing Facility (SNF),Inpatient (Part B),22,CWF Initiated Adjustment Claim
032G,3,2,G,Home Health,Inpatient (Part B),32,CWF Initiated Adjustment Claim
042G,4,2,G,Religious Nonmedical (Hospital),Inpatient (Part B),42,CWF Initiated Adjustment Claim
052G,5,2,G,Religious Nonmedical (Extended Care),Inpatient (Part B),52,CWF Initiated Adjustment Claim
